terms
A/B Testing
Activation Function
Artificial Intelligence
AutoEncoders
Bayes’ Theorem
Bias
Big Data
Control Set
Cross-validation
Data Mining
Data Science
Data Wrangling
Deep Learning (DL)
Dependent Variable
Dimensionality Reduction
Feature
Graphics Processing Unit (GPU)
Independent Variable
dependent variable
 for example.
Label
Latent Variable
this link
 for good examples of latent variable.
Linear Regression
Logistic Regression
Machine Learning (ML)
Model Fitting
Model Selection
Model Tuning
Natural Language Processing (NLP)
Outlier
Percentiles
Perceptron
Predictive Analysis
Random Forest
Rectified Linear Unit (ReLU)
Recurrent Neural Network (RNN)
R-Squared
Sigmoid Function
 Softmax
Support Vector Machine (SVM)
Testing Set
Training Set
Weight
By 
Wolf Howard
", Dataquest"
Algorithms
Back End
Data Warehouse
Front End
Fuzzy Algorithms
Fuzzy Logic
Greedy Algorithms
Statistic vs. Statistics
Training and Testing
Artificial Intelligence (AI)
Business Intelligence (BI)
Data Analysis
Data Engineering
Data Journalism
Data Visualization
Quantitiative Analysis:
"Mean (Average, Expected Value)"
Median
Normalize
Statistical Significance
Summary Statistics
Residual (Error)
Data Exploration
Data Pipelines
Data Wrangling (Munging)
"ETL (Extract, Transform, Load)"
Web Scraping
Decision Trees
Neural Networks
Supervised Machine Learning
Unsupervised Machine Learning
Bio: 
Related:
Ridge Regression Regression
Elastic Net
Random Forests
Lightgbm
XgBoost
Cat Boost
Gradient Boosting
DeepLearning
Convolutional Neural Networks / CNN
Recurrent Neural Networks / RNN
LSTMs
GRUs
MxNet
ResNet
CapsuleNets
Unet
VGGs
Xception
Inception Nets
Computer Vision
Transfer Learning
Object Detection
RCNN
MobileNet
K Means Clustering
Hierarchial Clustering
DB Scan
K Naive Bayes
SVMs
KNN
Recommendation Engine
"EDA, Exploration"
Outlier Treatment
Anomaly Detection
Pipeline
Missing Values
Dataset Decomposition
PCA
Tsne
SVD
Ensembling
Stacking
Blending
NLP
Topic Modelling
Word Embeddings
Spacy
NLTK
TextBlob
Scikit Learn
TensorFlow
Theano
Kears
PyTorch
Vopal Wabbit
ELI5
HyperOpt
Pandas
Sql
BigQuery
H2o
Fast.AI
Visualizations
Plotly
Seaborn
D3.Js
Bokeh
Highchart
Folium
ggPlot
Time Series Analysis
ARIMA
Forecasting
Best Tutorials on Kaggle
Data Leak
Adversarial Validation
Generative Adversarial Networks
The Fundamentals of Data Science
Bayes Theorem
Data Structure
Exploratory Data Analysis (EDA)
JavaScript
Linear Algebra
MATLAB
Multivariate Analysis
Quartile
TO BE CONTINUED…
Supervised Machine Learning
Unsupervised Machine Learning
Training and Testing
Quantitative Analysis:
"Mean (Average, Expected Value)"
coefficient
cross-validation
Dependent variable and Independent Variable
predictive analytics
Artificial Intelligence in Hindi
Case Study: ML Applications at Amazon.in
Activation function
Blockchain
Convolutional Neural Network (CNN)
Data Storytelling
[Related article
DevOps/DataOps/MLOps/AIOps
Docker containers
Explainable AI
GPU acceleration
H2O.ai
Jupyter Notebooks
Long Short Term Memory (LSTM)
MXNet
Tidyverse
AngularJS
artificial intelligence
Bayes' Theorem
Bayesian network
bias
chi-square test
computational linguistics
confidence interval
continuous variable
D3
data engineer
